config,seed,seconds,train_acc,val_acc,best_val_acc,epochs_run,nan_loss,test_acc
L00 starter,2,2.3,0.5826249718666077,0.5997499823570251,0.5997499823570251,10,False,0.5960333333333333
L00 starter,0,2.3,0.5883125066757202,0.6027500033378601,0.6200000047683716,10,False,0.6002666666666666
L02 +all numeric columns,0,2.4,0.5958124995231628,0.5960000157356262,0.5960000157356262,10,False,0.6038333333333333
L00 starter,1,2.5,0.5963749885559082,0.590499997138977,0.609749972820282,10,False,0.5936
L02 +all numeric columns,1,2.5,0.6362500190734863,0.6377500295639038,0.6377500295639038,10,False,0.6383333333333333
L01 +scale,1,2.5,0.6188750267028809,0.6307500004768372,0.6307500004768372,10,False,0.6249666666666667
L01 +scale,0,2.6,0.6238124966621399,0.6147500276565552,0.6172500252723694,10,False,0.6236
L01 +scale,2,2.6,0.6175000071525574,0.6134999990463257,0.6134999990463257,10,False,0.6165
L03 +log skewed,0,2.1,0.6144999861717224,0.6240000128746033,0.6240000128746033,10,False,0.6193
L03 +log skewed,1,1.9,0.6491875052452087,0.652999997138977,0.652999997138977,10,False,0.655
L02 +all numeric columns,2,2.1,0.6241875290870667,0.6244999766349792,0.6244999766349792,10,False,0.6289333333333333
L03 +log skewed,2,2.2,0.632437527179718,0.6359999775886536,0.6359999775886536,10,False,0.6367
L04 +one-hot,0,2.2,0.6838124990463257,0.6787499785423279,0.6787499785423279,10,False,0.6918333333333333
L04 +one-hot,2,2.2,0.690750002861023,0.6862499713897705,0.6862499713897705,10,False,0.6931666666666667
L04 +one-hot,1,2.3,0.6923750042915344,0.6884999871253967,0.6884999871253967,10,False,0.6999333333333333
L05 +median & missing flags,0,2.3,0.7127500176429749,0.7149999737739563,0.7149999737739563,10,False,0.7173666666666667
L05 +median & missing flags,2,2.2,0.714062511920929,0.7145000100135803,0.7145000100135803,10,False,0.7160666666666666
L05 +median & missing flags,1,2.2,0.7081249952316284,0.7122499942779541,0.7147499918937683,10,False,0.7094666666666667
L06 +chargeback -1 flag,0,2.3,0.7283124923706055,0.7287499904632568,0.7297499775886536,10,False,0.7316
L06 +chargeback -1 flag,2,2.1,0.7250624895095825,0.7229999899864197,0.7235000133514404,10,False,0.7318
L06 +chargeback -1 flag,1,2.2,0.7248125076293945,0.7260000109672546,0.7260000109672546,10,False,0.7261666666666666
L07 +adam,0,2.4,0.7584375143051147,0.7584999799728394,0.7584999799728394,10,False,0.7589333333333333
L07 +adam,1,2.3,0.7661250233650208,0.7695000171661377,0.7695000171661377,10,False,0.7667666666666667
L07 +adam,2,3.0,0.7578125,0.7572500109672546,0.7572500109672546,10,False,0.7593
L08 +100 epochs,2,21.8,0.7999374866485596,0.7990000247955322,0.7990000247955322,100,False,0.7939
L08 +100 epochs,1,22.2,0.7964375019073486,0.796500027179718,0.8050000071525574,100,False,0.7923333333333333
L08 +100 epochs,0,22.6,0.7865625023841858,0.7820000052452087,0.7827500104904175,100,False,0.781
L09 +2x128 network,1,26.2,0.987625002861023,0.7919999957084656,0.8274999856948853,100,False,0.7895666666666666
L09 +2x128 network,0,27.1,0.9999374747276306,0.8052499890327454,0.8337500095367432,100,False,0.8111
L09 +2x128 network,2,27.3,1.0,0.8140000104904175,0.8305000066757202,100,False,0.8112333333333334
L10 +dropout 0.3,0,32.9,0.8942499756813049,0.8314999938011169,0.843999981880188,100,False,0.8369333333333333
L10 +dropout 0.3,1,34.4,0.893750011920929,0.8402500152587891,0.8477500081062317,100,False,0.8398666666666667
L10 +dropout 0.3,2,47.0,0.8925625085830688,0.8385000228881836,0.8500000238418579,100,False,0.8385333333333334
L11 +drop noise cols,1,46.6,0.8929374814033508,0.8387500047683716,0.8522499799728394,100,False,0.8395333333333334
L11 +drop noise cols,0,47.0,0.8896874785423279,0.8442500233650208,0.8532500267028809,100,False,0.8412
L11 +drop noise cols,2,48.0,0.8909375071525574,0.8412500023841858,0.8510000109672546,100,False,0.8434333333333334
L12 +amount vs usual,0,47.9,0.8948125243186951,0.8374999761581421,0.8552500009536743,100,False,0.8414
L12 +amount vs usual,1,48.4,0.8994374871253967,0.8414999842643738,0.8550000190734863,100,False,0.8433
L12 +amount vs usual,2,47.9,0.8963124752044678,0.8395000100135803,0.8539999723434448,100,False,0.8419
L13 +hour sin/cos,0,48.4,0.8964375257492065,0.8389999866485596,0.8557500243186951,100,False,0.8431
L13 +hour sin/cos,1,48.0,0.898687481880188,0.8342499732971191,0.8532500267028809,100,False,0.8412666666666667
L13 +hour sin/cos,2,47.9,0.8978750109672546,0.8432499766349792,0.8544999957084656,100,False,0.8448666666666667
L14 +round amounts,0,48.6,0.9104375243186951,0.8552500009536743,0.8682500123977661,100,False,0.8581
L14 +round amounts,1,48.2,0.909250020980835,0.8537499904632568,0.8654999732971191,100,False,0.8580333333333333
L14 +round amounts,2,48.5,0.9126250147819519,0.8504999876022339,0.8629999756813049,100,False,0.8596333333333334
L15 +reduce lr,0,47.9,0.8916249871253967,0.8640000224113464,0.8682500123977661,100,False,0.868
L15 +reduce lr,1,49.2,0.8961250185966492,0.8640000224113464,0.8675000071525574,100,False,0.8681666666666666
L15 +reduce lr,2,50.8,0.9011874794960022,0.8585000038146973,0.8634999990463257,100,False,0.8699666666666667
F- scale,2,52.0,0.8809999823570251,0.8539999723434448,0.8560000061988831,100,False,0.8556
F- scale,1,52.7,0.8788750171661377,0.8554999828338623,0.8602499961853027,100,False,0.8584
F- scale,0,53.0,0.8740000128746033,0.8512499928474426,0.8572499752044678,100,False,0.8569666666666667
F- all numeric columns,0,53.9,0.7276874780654907,0.7037500143051147,0.7095000147819519,100,False,0.7041333333333334
F- all numeric columns,1,53.2,0.7322499752044678,0.7077500224113464,0.7099999785423279,100,False,0.7030666666666666
F- all numeric columns,2,53.2,0.7291250228881836,0.7014999985694885,0.7074999809265137,100,False,0.7043333333333334
F- log skewed,0,55.3,0.8866249918937683,0.8432499766349792,0.846750020980835,100,False,0.846
F- log skewed,1,55.8,0.8818749785423279,0.8427500128746033,0.8464999794960022,100,False,0.8455
